edu.wustl.catissuecore.domain.ContainerType	0	1.084	none
edu.wustl.catissuecore.domain.FixedEventParameters	0	.583	none
edu.wustl.catissuecore.domain.QuantityInMicrogram	0	.578	none
edu.wustl.catissuecore.domain.Specimen	0	.586	none
edu.wustl.catissuecore.domain.QuantityInCount	0	.587	none
edu.wustl.catissuecore.domain.SpecimenProtocol	0	.581	none
edu.wustl.catissuecore.domain.Department	-99	.649	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType
edu.wustl.catissuecore.domain.Institution	-99	.627	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType
edu.wustl.catissuecore.domain.Quantity	-99	.632	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType
edu.wustl.catissuecore.domain.QuantityInGram	0	.575	none
edu.wustl.catissuecore.domain.ClinicalReport	-99	.636	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType
edu.wustl.catissuecore.domain.Site	-99	.617	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType
edu.wustl.catissuecore.domain.SpecimenArrayContent	-99	.616	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType
edu.wustl.catissuecore.domain.CellSpecimenReviewParameters	0	.57	none
edu.wustl.catissuecore.domain.SpecimenEventParameters	0	.602	none
edu.wustl.catissuecore.domain.FluidSpecimen	0	.587	none
edu.wustl.catissuecore.domain.SpecimenCharacteristics	-99	.738	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType
edu.wustl.catissuecore.domain.Distribution	-99	.617	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType
edu.wustl.catissuecore.domain.FrozenEventParameters	0	.57	none
edu.wustl.catissuecore.domain.CheckInCheckOutEventParameter	0	.596	none
edu.wustl.catissuecore.domain.CollectionProtocol	7	3.064	none
edu.wustl.catissuecore.domain.Participant	-99	.674	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType
edu.wustl.catissuecore.domain.AuditEventQueryLog	-99	.629	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType
edu.wustl.catissuecore.domain.SpecimenCollectionGroup	-99	.629	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType
edu.wustl.catissuecore.domain.ProcedureEventParameters	0	.605	none
edu.wustl.catissuecore.domain.SpunEventParameters	0	.586	none
edu.wustl.catissuecore.domain.TransferEventParameters	0	.587	none
edu.wustl.catissuecore.domain.CollectionEventParameters	675	138.51	none
edu.wustl.catissuecore.domain.Password	-99	.648	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType
edu.wustl.catissuecore.domain.Biohazard	-99	.65	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType
edu.wustl.catissuecore.domain.SpecimenArray	0	.73	none
edu.wustl.catissuecore.domain.CellSpecimen	103	38.737	none
edu.wustl.catissuecore.domain.ReceivedEventParameters	675	217.546	none
edu.wustl.catissuecore.domain.User	-99	.63	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType
edu.wustl.catissuecore.domain.CancerResearchGroup	-99	.627	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType
edu.wustl.catissuecore.domain.AbstractDomainObject	-99	.697	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType
edu.wustl.catissuecore.domain.AuditEventDetails	0	.565	none
edu.wustl.catissuecore.domain.TissueSpecimenReviewEventParameters	116	29.525	none
edu.wustl.catissuecore.domain.AuditEventLog	0	.616	none
